Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20
Turicibacter sp. H121,143.325111755543,0,0,0,0,0,0,0,0,0,12.0290115393645,12.0233659975264,43.104768724937,0,0,16.0300700315208,58.1763972384708,0,0,0
Aerococcus urinaeequi,0,12.0045362410465,0,20.0159479459046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentilactobacillus buchneri,0,14.4354904947181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichococcus pasteurii,0,11.0041582209593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella dysenteriae,0,0,21.5543721301389,0,0,93.9019513687097,146.56264097604,110.048051127525,112.852676820842,109.951736623994,0,0,11.796745224297,0,0,0,0,0,0,0
Anaerobutyricum hallii,0,0,0,25.0199349323807,0,0,0,0,0,0,735.842250150759,1117.51426729152,790.604389460862,666.59402078248,866.7065170367,11172.204041386,6950.99375056921,14347.2511361861,21325.2511987584,2946.17042918347
Blautia glucerasea,0,0,0,164.503156630359,0,0,0,0,0,0,307.900803171556,365.41152772146,360.29679900481,671.82814838228,503.483354976423,2277.87686333208,457.797425515801,1341.21566976351,2279.31277296531,1085.03222935995
Blautia hydrogenotrophica,0,0,0,15.8578189892546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia producta,0,0,0,57.5132691010841,0,0,0,0,0,0,674.325625852888,295.094648063925,1016.793792434,548.929270839289,539.03720276932,799.398014928148,27.391157762559,73.4754552897027,138.534696863503,75.6781896312948
Blautia pseudococcoides,0,0,0,23.1521520210273,0,0,0,0,0,0,28.4876647506141,83.3120556766021,138.919429676648,50.8981469453395,64.3819526326484,271.482065904697,0,38.0375726975547,26.4372578418775,0
Blautia sp. SC05B48,0,0,0,17.2170570581859,0,0,0,0,0,0,1135.68329377228,2141.84849874116,1441.32113521369,3243.38816039895,1639.51885338639,8791.38864246652,10521.7399666658,10080.9150830283,21551.4045907331,18910.6004209191
Drancourtella massiliensis,0,0,0,19.0100009496531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0205690469685,0
Enterococcus columbae,0,0,0,14.8137194896857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmiger formicilis,0,0,0,49.3560987571555,0,0,0,0,0,0,4038.17183548468,7121.41312895672,7758.99904224344,2136.84517259184,5432.86367770106,5129.64423390128,5415.20739676064,208.248208321617,0,1699.05375479294
Lachnoclostridium phocaeense,0,0,0,30.8046644415068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus jensenii,0,0,0,10.7450944712691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus kalixensis,0,0,0,16.8527132156254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus psittaci,0,0,0,151.973986038928,140.479207031751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilistercora timonensis,0,0,0,60.1961138722924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterraneibacter glycyrrhizinilyticus,0,0,0,51.1177156221369,0,0,0,0,0,0,26.2918563131388,22.1817663784496,51.3601529460164,23.4323323181754,14.2087080959094,0,0,0,294.654916750116,32.0253311740618
Monoglobus pectinilyticus,0,0,0,15.0119609594284,0,0,0,0,0,0,391.608073187645,286.043608167343,448.428125200506,478.620120087813,368.5093491267,677.491000752869,571.920686013068,2972.78650159886,866.54216923438,1021.84831406061
Peptococcus niger,0,0,0,139.110838223114,0,0,0,0,0,0,1294.12115868757,528.026157012926,726.766689334693,521.219569769655,550.030234182715,0,0,0,0,0
Phascolarctobacterium faecium,0,0,0,13.010366164838,0,0,0,0,0,0,0,0,0,0,0,1953.21081028798,11.0334546486755,0,0,0
Subdoligranulum variabile,0,0,0,63.7340071372054,0,0,0,0,0,0,0,18.7377933717648,13.1255333213019,45.565780326984,0,0,46.9116483677052,0,0,0
Limosilactobacillus pontis,0,0,0,0,430.056610351115,0,0,0,0,0,302.653255902099,0,675.660768451665,0,1568.21617992734,0,0,0,0,0
Bacillus amyloliquefaciens,0,0,0,0,0,22.8674068327717,0,21.0228260476617,30.5954830529718,0,0,0,0,0,0,0,0,0,0,0
Bacillus atrophaeus,0,0,0,0,0,15.1377379840905,13.4961187477716,11.161083459164,21.5294190244487,0,0,0,0,0,0,0,0,0,0,0
Bacillus halotolerans,0,0,0,0,0,128.267935875643,136.346951503772,176.417923371275,225.436556477664,80.2708172619801,0,0,0,0,0,0,0,0,0,0
Bacillus subtilis,0,0,0,0,0,25556.1115923142,31120.2343351967,29956.8977110326,27962.2453968112,12552.6480089189,0,0,0,0,0,0,0,0,0,0
Bacillus velezensis,0,0,0,0,0,34.74582772315,53.5339671888917,50.8912543027778,50.0777979630437,26.1077543051197,0,0,0,0,0,0,0,0,0,0
Citrobacter koseri,0,0,0,0,0,31.9531570431858,10.0690423812841,22.5695420929575,14.6256329796254,13.2314162443379,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus fermentum,0,0,0,0,0,27468.9983683123,24558.850035103,27321.5975751987,21941.4941531198,13910.8369725522,0,0,0,0,0,0,0,0,0,0
Listeria ivanovii,0,0,0,0,0,22.0968749035273,29.1495288200705,32.2411034106649,32.6152689226908,11.8006106072671,0,0,0,0,0,0,0,0,0,0
Listeria monocytogenes,0,0,0,0,0,25109.239950534,29759.0506181454,28901.0064784568,29171.6761343267,14421.2607349298,0,0,0,0,0,0,0,0,0,0
Mammaliicoccus sciuri,0,0,0,0,0,12.880228987004,0,0,15.3825676124565,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas aeruginosa,0,0,0,0,0,4070.96159012503,1429.24986791255,2135.88016161435,1461.65109596184,1256.25093585717,0,0,0,0,0,0,0,0,0,0
Salmonella enterica,0,0,0,0,0,31253.5529439039,21031.6491644043,23670.1236188552,18987.3467026173,13329.5263938875,0,0,0,0,0,0,0,0,0,0
Shigella flexneri,0,0,0,0,0,207.720385782857,133.487198360471,196.412659683226,151.143107430927,75.9670168176588,0,0,0,0,0,0,0,0,0,0
Staphylococcus aureus,0,0,0,0,0,28673.059779931,36118.2917958469,33902.9988754994,32905.5477173015,17896.2322455465,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,0,0,0,0,0,11.2393802148159,0,0,19.2479511585262,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus lugdunensis,0,0,0,0,0,18.439462502456,17.9620021457898,19.3215915817651,26.201932063574,18.7650538951219,0,0,0,0,0,0,0,0,0,0
Staphylococcus petrasii,0,0,0,0,0,0,0,23.3549932039357,0,0,0,0,0,0,0,0,0,0,0,0
Acetanaerobacterium elongatum,0,0,0,0,0,0,0,0,0,0,17.3477621628831,0,19.2581617979836,12.9312370486226,0,18.3273117321941,0,0,0,0
Acetivibrio aldrichii,0,0,0,0,0,0,0,0,0,0,240.399345554411,204.595603602663,313.888275126121,197.078142053482,1404.48663675036,1667.94450841565,14.5979270377245,126.54929085406,0,0
Acetivibrio alkalicellulosi,0,0,0,0,0,0,0,0,0,0,140.933004122444,91.1972952776944,151.277663783347,194.352908540814,351.302901768972,2128.42037721701,11.5253260010651,117.768715810122,0,0
Acetivibrio cellulolyticus,0,0,0,0,0,0,0,0,0,0,101.374198433636,75.6797076865496,129.867075194431,102.834701804105,412.166122886492,1042.42851055007,0,105.469831778293,0,0
Acetivibrio clariflavus,0,0,0,0,0,0,0,0,0,0,30.3124178658109,52.0671667410348,54.2103773701385,28.1394518173601,28.6791424568329,3150.99674700423,34.4323990689293,111.050543395811,28.6783494154207,25.2627773534728
Acetivibrio saccincola,0,0,0,0,0,0,0,0,0,0,57.2817114313828,58.3970817425797,99.850553554616,106.992150088435,110.835844480648,2023.77374590417,0,0,0,0
Acetivibrio straminisolvens,0,0,0,0,0,0,0,0,0,0,18.7056065159943,20.5974972457578,39.6024438634556,16.8019274289579,0,917.801241638715,20.6180870240614,46.3727545306194,33.5749598939912,17.4672315269603
Acetivibrio thermocellus,0,0,0,0,0,0,0,0,0,0,205.449967424796,29.0078941921206,55.9400780770971,45.8998206678187,21.6737714073308,1300.52812228267,28.3284194270812,0,0,17.3352149830579
Acidaminobacter hydrogenoformans,0,0,0,0,0,0,0,0,0,0,65.3604068214724,0,36.9696385485721,0,0,40.9847450839627,0,0,0,0
Acidaminococcus fermentans,0,0,0,0,0,0,0,0,0,0,248.595418507523,524.01836805886,257.626260908988,719.683944412717,532.998340627643,0,0,0,0,0
Acidothermus cellulolyticus,0,0,0,0,0,0,0,0,0,0,60.1629640294939,0,0,0,0,0,0,0,0,0
Acutalibacter muris,0,0,0,0,0,0,0,0,0,0,107.237592055815,44.7658388632671,52.1997397210203,84.6777656983576,70.2215631960098,96.3367499416003,0,0,0,0
Agathobacter rectalis,0,0,0,0,0,0,0,0,0,0,136.250809117773,6456.29401420224,7474.62478290838,1588.61918739534,1964.09270633277,453.121843645691,4003.85449460586,454.846612473917,155.76052192149,0
Agathobaculum butyriciproducens,0,0,0,0,0,0,0,0,0,0,22.8841379602107,271.211797430529,168.885722358546,51.4559848257368,193.171243305504,629.366095634643,302.79640927785,3678.75241203774,484.100531967831,181.937051001458
Alistipes dispar,0,0,0,0,0,0,0,0,0,0,30.9155785593428,0,0,0,0,0,0,0,0,0
Alistipes finegoldii,0,0,0,0,0,0,0,0,0,0,24.2567219669382,0,0,0,0,0,0,0,0,0
Alkalitalea saponilacus,0,0,0,0,0,0,0,0,0,0,145.630685709678,0,0,48.704803374148,0,0,0,0,0,0
Allofournierella massiliensis,0,0,0,0,0,0,0,0,0,0,32.3492834524163,118.19395786619,163.868322662234,80.8645225479789,66.6036562472619,60.3784594182909,0,0,0,0
Aminicella lysinilytica,0,0,0,0,0,0,0,0,0,0,18.0866486147482,19.1976456332771,0,19.1496524952474,29.6007632591587,0,0,0,0,0
Aminipila butyrica,0,0,0,0,0,0,0,0,0,0,111.725026559841,0,30.8488015432537,43.4481873696387,20.4750117445168,60.3320859009572,21.6122693517623,0,0,0
Aminipila luticellarii,0,0,0,0,0,0,0,0,0,0,29.193449032893,15.0493235192268,44.9393948535563,79.3490029340372,19.7481471394205,51.6494701457135,11.3667446546552,0,25.6384136300596,0
Anaerocella delicata,0,0,0,0,0,0,0,0,0,0,1240.99302860656,0,0,0,0,0,0,0,0,0
Anaerocolumna cellulosilytica,0,0,0,0,0,0,0,0,0,0,64.9660271423383,24.3248442846016,0,194.169615565518,33.6064119613721,47.3370653925607,0,0,0,0
Anaerofustis stercorihominis,0,0,0,0,0,0,0,0,0,0,12.0290115448147,0,0,0,0,0,0,0,11.017978694766,0
Anaeromassilibacillus senegalensis,0,0,0,0,0,0,0,0,0,0,1029.14371003312,201.633873609861,238.29452279964,544.25756318002,222.748215413883,1288.54613326936,139.682805798472,0,24.0379883754637,33.0260289217774
Anaerostipes hadrus,0,0,0,0,0,0,0,0,0,0,17.5715161379148,117.779968147563,67.3674522697173,29.49915225374,208.735019687968,4258.88960203787,1796.43405890915,5469.70580576428,4591.52418061864,334.129633092923
Anaerotaenia torta,0,0,0,0,0,0,0,0,0,0,48.5626998104394,170.588165253945,55.0037401032256,138.253630966882,228.938999101375,43.8782237776273,0,31.945123940786,0,0
Anaerotignum faecicola,0,0,0,0,0,0,0,0,0,0,17.0410991211038,25.0203984051076,47.3243166850061,19.0445612384177,0,99.9435209746513,0,0,0,0
Anaerotruncus rubiinfantis,0,0,0,0,0,0,0,0,0,0,227.282778258032,148.020447368666,68.8426783853247,197.208457819752,102.362320050622,338.887089358738,0,0,0,31.5021624521977
Anaerovibrio lipolyticus,0,0,0,0,0,0,0,0,0,0,73.1766292990877,2280.89404655228,2267.15219054044,1737.33892227888,1193.12400854658,0,0,0,0,0
Anaerovorax odorimutans,0,0,0,0,0,0,0,0,0,0,25.9507471053206,20.4408735562924,28.4825731824038,18.5575393720419,14.4824672461778,121.821993468773,61.2212545064859,0,13.2674667322875,0
Aureliella helgolandensis,0,0,0,0,0,0,0,0,0,0,17.9054414308532,0,0,21.7883873479665,0,0,0,0,0,0
Bacteroidales bacterium CF,0,0,0,0,0,0,0,0,0,0,6611.39119078989,1516.94558072393,1970.79121193003,2973.5545703803,1159.17118243545,0,0,0,0,0
Bacteroides gallinaceum,0,0,0,0,0,0,0,0,0,0,23.0702267276376,0,0,0,0,0,0,0,0,0
Bariatricus massiliensis,0,0,0,0,0,0,0,0,0,0,1040.54676350395,250.70855388749,538.466295151953,778.119077619514,280.586713574239,12.8903774696676,0,0,0,0
Barnesiella intestinihominis,0,0,0,0,0,0,0,0,0,0,25.5049188666843,26.0803031769469,23.6053551688379,29.8093673023003,0,86.1616264194242,0,0,0,0
Barnesiella viscericola,0,0,0,0,0,0,0,0,0,0,431.752034604723,177.028523432144,250.635719980299,324.479910676213,144.239473016382,0,0,0,0,0
Blautia luti,0,0,0,0,0,0,0,0,0,0,507.289906751977,2000.93118311049,1517.72228840625,1392.12089893925,2425.12423337664,4580.2376466568,5448.21715030156,9255.27179258975,17665.5871045022,73727.9092047749
Blautia marasmi,0,0,0,0,0,0,0,0,0,0,18.8137647628849,15.428890141739,43.0861594668479,0,22.7706398154683,89.7809260858437,0,0,0,0
Blautia obeum,0,0,0,0,0,0,0,0,0,0,214.909519526846,461.083434555727,443.925132733977,328.73064492912,182.943316077223,1277.80826311181,5402.07118391076,1594.48251236282,1338.89589026779,4453.99244592481
Blautia schinkii,0,0,0,0,0,0,0,0,0,0,31.5707047921415,16.305346504657,10.9996287212707,45.6016797268465,26.732112199437,39.7492858612817,0,0,0,0
Blautia stercoris,0,0,0,0,0,0,0,0,0,0,14.3667155638792,11.4685345835628,21.6212982924487,0,21.4926407219842,477.957594808542,0,0,0,0
Blautia wexlerae,0,0,0,0,0,0,0,0,0,0,20.456603113879,98.1923924904792,126.505835077301,67.1716157035634,93.1171239417582,1336.84856766175,5671.265108708,28561.546168798,38200.3781867228,68137.9069193136
Breznakia pachnodae,0,0,0,0,0,0,0,0,0,0,20.0425585336334,0,0,0,20.0379550703799,161.181140467177,0,0,0,0
Bulleidia extructa,0,0,0,0,0,0,0,0,0,0,20.3139035498914,53.2083169569087,12.0318110315484,20.5879209110896,22.0355952732827,0,0,0,0,0
Butyricicoccus faecihominis,0,0,0,0,0,0,0,0,0,0,17.3123062920214,226.789219076934,155.179623707832,93.8684403023541,169.732609683581,1048.14295997078,130.517446044061,853.696388485136,685.376313818683,196.368731071828
Butyricicoccus pullicaecorum,0,0,0,0,0,0,0,0,0,0,688.116440866283,582.920062136821,551.049692457955,625.628198708029,427.641209055932,433.551024621957,0,0,0,0
Butyricimonas faecalis,0,0,0,0,0,0,0,0,0,0,28.2610813639079,0,0,0,0,0,0,0,0,0
Butyricimonas faecihominis,0,0,0,0,0,0,0,0,0,0,48.7335846689629,0,0,27.5065324847144,0,0,0,0,0,0
Butyricimonas paravirosa,0,0,0,0,0,0,0,0,0,0,135.929234357113,0,0,13.4698530210828,0,0,0,0,0,0
Butyricimonas virosa,0,0,0,0,0,0,0,0,0,0,390.392877650472,0,0,92.3645583065272,0,0,0,0,0,0
Butyrivibrio fibrisolvens,0,0,0,0,0,0,0,0,0,0,30.4741034635531,0,17.1968430500705,0,0,0,0,0,0,0
Butyrivibrio hungatei,0,0,0,0,0,0,0,0,0,0,223.415858064456,0,0,72.7676971022927,26.0489251680933,0,0,0,0,0
Butyrivibrio proteoclasticus,0,0,0,0,0,0,0,0,0,0,33.9932324811541,0,0,0,0,0,0,0,0,0
Caldicoprobacter algeriensis,0,0,0,0,0,0,0,0,0,0,19.4163308015907,0,0,0,0,0,0,0,0,0
Caldicoprobacter faecalis,0,0,0,0,0,0,0,0,0,0,95.6596790296116,14.5198395655836,37.4030220601834,33.6284316022414,0,58.8880837722364,0,0,0,0
Caloramator australicus,0,0,0,0,0,0,0,0,0,0,25.1288147753804,0,0,0,0,0,0,0,0,0
Caloramator fervidus,0,0,0,0,0,0,0,0,0,0,38.4384975275015,0,13.8430607549317,0,0,0,0,0,0,0
Caloramator sp. E03,0,0,0,0,0,0,0,0,0,0,16.834698431943,0,0,0,0,0,0,0,0,0
Campylobacter lanienae,0,0,0,0,0,0,0,0,0,0,423.020239323064,0,0,61.1430649152865,0,0,0,0,0,0
Candidatus Formimonas warabiya,0,0,0,0,0,0,0,0,0,0,42.5016734077344,0,17.0922517350618,23.8678732730653,14.0262756677552,41.476030243819,0,0,0,0
Caproiciproducens galactitolivorans,0,0,0,0,0,0,0,0,0,0,157.490581315319,273.430112994452,80.4764423622226,78.6625843908452,73.2378392078769,281.546077470902,0,0,0,0
Caproiciproducens sp. NJN-50,0,0,0,0,0,0,0,0,0,0,262.153229766697,150.463483934141,235.143474707565,95.2178316010666,64.7500740904471,768.184486223965,12.0665302169077,0,0,0
Casaltella massiliensis,0,0,0,0,0,0,0,0,0,0,57.7381316833079,0,0,11.7886621512846,0,0,0,0,293.490209303971,0
Catenibacterium mitsuokai,0,0,0,0,0,0,0,0,0,0,21.0507702032804,112.21808264358,51.1242774566474,106.248604606891,63.118223593848,0,89.2706785211018,0,0,0
Christensenella hongkongensis,0,0,0,0,0,0,0,0,0,0,185.864958959742,57.8457427273118,32.3664274961926,66.6882188238072,44.966896119521,170.722317819566,0,0,0,0
Christensenella massiliensis,0,0,0,0,0,0,0,0,0,0,1728.06823038775,322.10414697185,106.093771431031,802.582451075827,214.333382999951,338.233657990395,0,0,0,0
Christensenella minuta,0,0,0,0,0,0,0,0,0,0,1748.3053313946,236.280428013807,70.4195260715244,721.272229284363,148.094942097672,438.62177171904,0,0,0,0
Christensenella timonensis,0,0,0,0,0,0,0,0,0,0,433.561613195901,33.7898213747495,29.9354327902342,92.8604769051596,32.8493015466884,106.092206620976,0,0,0,0
Clostridiales bacterium,0,0,0,0,0,0,0,0,0,0,57.0682877768576,0,0,0,0,15.5127309240115,0,0,0,0
Clostridiales bacterium CCNA10,0,0,0,0,0,0,0,0,0,0,188.339871310108,33.7754620666695,47.4353765935915,97.4699858544149,38.3924291935243,60.5736131293266,0,0,0,0
Clostridium argentinense,0,0,0,0,0,0,0,0,0,0,33.0251236477586,0,18.295900397739,0,0,63.095120437148,0,0,0,0
Clostridium baratii,0,0,0,0,0,0,0,0,0,0,189.779990274221,182.653891976779,1292.81035726199,417.147827220004,19.8943282988371,0,0,0,0,0
Clostridium beijerinckii,0,0,0,0,0,0,0,0,0,0,31.3553430986635,193.367758270768,63.4377374675871,51.1846649107064,0,0,0,0,0,0
